5.758474528422943273e-01 0.000000000000000000e+00 5.252271525728215984e-01 1.156796817656871451e-01 0.000000000000000000e+00
1.080990772653812187e-01 2.857468242481464929e-02 1.475104623093266842e-01 4.487344750949399941e-02 3.845081791128707877e-02
6.902789364641159775e-01 0.000000000000000000e+00 1.360469088740532684e-01 1.587185567683324361e-01 3.007676399898912556e-01
1.316154369178322396e-02 5.993707819546033599e-01 0.000000000000000000e+00 6.347736278886140227e-02 0.000000000000000000e+00
2.526502693889131623e-01 0.000000000000000000e+00 7.322415972922949878e-01 3.543660930064231745e-02 5.865245644622550658e-02
1.019129545673417958e+00 0.000000000000000000e+00 1.644723236635589891e-01 1.753396294761773722e-01 1.772735809449443312e-01
4.809644068072610988e-03 5.219108749633737977e-03 7.752772293320412018e-03 5.252772040463917110e-03 1.888230450577125380e-02
1.612399482199254087e-04 4.547278150187191170e-01 0.000000000000000000e+00 1.617735457259865200e-04 1.607119344016180241e-04
8.277675995717295732e-02 2.315302844459433615e-02 9.757848323117284187e-03 6.165917286981036777e-02 2.058983342172873154e-01
6.081868283394789021e-01 6.323623891274752218e-01 0.000000000000000000e+00 1.962213230476910486e-01 5.018759994670531077e-02
4.626213043519493695e-01 8.283845711603925466e-01 8.109601386357420116e-01 0.000000000000000000e+00 6.162464849580168158e-02
2.380868856512657061e-01 0.000000000000000000e+00 7.939436559641998015e-01 1.341049335617859883e-01 6.809602626927492575e-02
4.337679366483981336e-01 0.000000000000000000e+00 7.712184062379467964e-01 5.057295910545931035e-03 8.869293456546638310e-02
1.156087294867832738e-01 0.000000000000000000e+00 9.301562533033060909e-01 0.000000000000000000e+00 9.743399679661098045e-02
3.068360913117912925e-01 9.275958210093805389e-01 0.000000000000000000e+00 9.209428317660880992e-02 0.000000000000000000e+00
