-0.268913 -4.08587 11.6759 -3.09995 1.0232 11.0574 -4.00171 
-0.297328 -4.10641 11.5612 -3.12052 1.01157 11.0639 -4.00281 
-0.328031 -4.1266 11.4412 -3.14078 0.99979 11.07 -4.00381 
-0.36125 -4.1464 11.3152 -3.16074 0.987825 11.0759 -4.00469 
-0.397226 -4.16579 11.1826 -3.1804 0.97565 11.0815 -4.00546 
-0.436214 -4.18473 11.0426 -3.19977 0.963236 11.0867 -4.00612 
-0.478471 -4.20316 10.8945 -3.21886 0.950547 11.0916 -4.00666 
-0.524243 -4.22104 10.7377 -3.23768 0.937547 11.0963 -4.00709 
-0.573748 -4.23832 10.5714 -3.25624 0.924193 11.1006 -4.00739 
-0.627148 -4.25494 10.3952 -3.27454 0.910439 11.1045 -4.00758 
-0.684524 -4.27084 10.2086 -3.29261 0.896235 11.1082 -4.00764 
-0.745837 -4.28595 10.0118 -3.31045 0.881529 11.1115 -4.00758 
-0.810905 -4.3002 9.80483 -3.32807 0.866267 11.1145 -4.00738 
-0.879382 -4.31352 9.58853 -3.34549 0.850399 11.1171 -4.00705 
-0.950757 -4.32585 9.36399 -3.36273 0.833877 11.1194 -4.00658 
-1.02438 -4.33713 9.13268 -3.37979 0.816659 11.1213 -4.00597 
-1.09952 -4.34732 8.89634 -3.39669 0.798714 11.1229 -4.00521 
-1.17539 -4.35637 8.65684 -3.41345 0.780022 11.1241 -4.0043 
-1.25123 -4.36427 8.41602 -3.43008 0.760579 11.1249 -4.00323 
-1.32637 -4.371 8.17564 -3.4466 0.740389 11.1254 -4.00199 
-1.40021 -4.37657 7.9372 -3.46301 0.719474 11.1255 -4.00059 
-1.4723 -4.381 7.70198 -3.47933 0.697864 11.1251 -3.99902 
-1.54229 -4.38432 7.47102 -3.49557 0.675598 11.1244 -3.99727 
-1.60992 -4.38655 7.24509 -3.51173 0.652721 11.1232 -3.99534 
-1.67504 -4.38776 7.02479 -3.52781 0.629285 11.1217 -3.99323 
-1.73756 -4.38797 6.81052 -3.54383 0.605342 11.1197 -3.99093 
-1.79746 -4.38725 6.60256 -3.55977 0.580947 11.1174 -3.98845 
-1.85476 -4.38564 6.40107 -3.57564 0.556152 11.1146 -3.98578 
-1.9095 -4.38318 6.20612 -3.59145 0.531011 11.1114 -3.98292 
-1.96174 -4.37994 6.01772 -3.60717 0.505573 11.1077 -3.97987 
-2.01158 -4.37595 5.83584 -3.62281 0.479885 11.1037 -3.97664 
-2.0591 -4.37126 5.66038 -3.63836 0.453994 11.0992 -3.97322 
-2.10442 -4.36592 5.49125 -3.65381 0.42794 11.0944 -3.96961 
-2.14762 -4.35997 5.32831 -3.66916 0.401762 11.0891 -3.96582 
-2.1888 -4.35345 5.17143 -3.68439 0.375496 11.0834 -3.96185 
-2.22808 -4.34638 5.02046 -3.6995 0.349175 11.0773 -3.95771 
-2.26554 -4.33882 4.87524 -3.71448 0.32283 11.0708 -3.95338 
-2.30127 -4.33078 4.73561 -3.72931 0.296486 11.0639 -3.94888 
-2.33537 -4.32231 4.60141 -3.744 0.27017 11.0566 -3.94421 
-2.36793 -4.31342 4.47248 -3.75852 0.243904 11.0489 -3.93938 
-2.39901 -4.30415 4.34865 -3.77287 0.217709 11.0409 -3.93438 
-2.4287 -4.29452 4.22977 -3.78704 0.191602 11.0324 -3.92922 
-2.45708 -4.28454 4.11569 -3.80102 0.165601 11.0236 -3.92391 
-2.4842 -4.27425 4.00625 -3.8148 0.13972 11.0144 -3.91845 
-2.51014 -4.26366 3.9013 -3.82837 0.113973 11.0049 -3.91283 
-2.53495 -4.25279 3.80069 -3.84173 0.088373 10.9949 -3.90707 
-2.5587 -4.24166 3.7043 -3.85487 0.0629294 10.9847 -3.90117 
-2.58143 -4.23028 3.61196 -3.86778 0.0376523 10.974 -3.89514 
-2.60319 -4.21867 3.52356 -3.88045 0.0125504 10.963 -3.88897 
-2.62404 -4.20685 3.43897 -3.89288 -0.0123686 10.9517 -3.88267 
-2.64402 -4.19481 3.35805 -3.90505 -0.0370981 10.94 -3.87625 
-2.66318 -4.18259 3.28069 -3.91697 -0.0616319 10.928 -3.8697 
-2.68154 -4.17018 3.20677 -3.92862 -0.0859648 10.9157 -3.86304 
-2.69915 -4.1576 3.13618 -3.94001 -0.110092 10.903 -3.85627 
-2.71605 -4.14486 3.0688 -3.95112 -0.13401 10.89 -3.84938 
-2.73227 -4.13196 3.00453 -3.96196 -0.157714 10.8767 -3.84239 
-2.74783 -4.11893 2.94327 -3.97251 -0.181202 10.863 -3.83529 
-2.76278 -4.10575 2.88492 -3.98277 -0.20447 10.849 -3.8281 
-2.77713 -4.09245 2.82938 -3.99274 -0.227517 10.8347 -3.8208 
-2.79092 -4.07903 2.77657 -4.00241 -0.250341 10.8201 -3.81342 
-2.80417 -4.06549 2.72638 -4.01178 -0.27294 10.8052 -3.80595 
-2.8169 -4.05184 2.67874 -4.02084 -0.295311 10.79 -3.79839 
-2.82914 -4.0381 2.63357 -4.0296 -0.317456 10.7744 -3.79074 
-2.8409 -4.02425 2.59078 -4.03804 -0.339371 10.7586 -3.78302 
-2.85221 -4.01031 2.5503 -4.04617 -0.361057 10.7424 -3.77522 
-2.86308 -3.99629 2.51205 -4.05398 -0.382513 10.7259 -3.76735 
-2.87354 -3.98218 2.47597 -4.06147 -0.403739 10.7092 -3.7594 
-2.8836 -3.96799 2.44198 -4.06863 -0.424734 10.692 -3.75139 
-2.89328 -3.95373 2.41002 -4.07546 -0.445497 10.6746 -3.74331 
