1.604890000000000020e-07 6.447999999999999565e-02 1.873370000000000118e-08 1.271819999999999895e-03 1.611379999999999967e-07 1.577260000000000120e-02
9.487109999999999710e-01 1.968739999999999934e-01 4.999909999999999771e-02 3.796440000000000231e-02 9.475970000000000226e-01 2.107110000000000094e-01
5.884629999999999583e-01 2.945450000000000013e-01 4.123299999999999882e-02 2.349170000000000078e-02 5.695440000000000502e-01 2.801540000000000141e-01
5.000000000000000278e-02 4.998550000000000215e-02 9.815400000000000363e-12 1.173689999999999938e-05 1.456319999999999998e-12 8.981899999999999715e-07
9.105950000000000433e-01 6.746170000000000222e-01 4.991029999999999772e-02 3.765079999999999816e-02 8.914950000000000374e-01 6.456520000000000037e-01
1.076580000000000092e+00 1.005530000000000035e+00 4.996740000000000209e-02 4.568679999999999963e-02 1.070659999999999945e+00 1.015740000000000087e+00
5.000079999999999802e-02 5.161530000000000284e-02 1.455149999999999951e-06 1.039180000000000008e-03 9.534319999999999205e-06 9.611730000000000620e-03
2.456949999999999967e-01 5.204600000000000198e-02 3.895080000000000070e-02 4.560580000000000168e-04 2.190860000000000030e-01 1.935899999999999947e-03
6.694009999999999967e-05 6.033140000000000169e-01 5.245619999999999931e-06 4.970929999999999793e-02 6.746460000000000456e-05 6.015150000000000219e-01
7.499930000000000138e-04 8.301119999999999610e-01 2.100340000000000019e-04 5.226719999999999977e-02 8.374969999999999810e-04 8.538229999999999986e-01
3.623029999999999767e-05 7.931740000000000457e-01 2.670230000000000013e-05 6.262069999999999581e-01 3.322009999999999725e-05 7.638150000000000217e-01
1.354829999999999963e-07 5.905059999999999754e-01 1.368880000000000013e-07 5.003119999999999790e-02 4.966820000000000267e-08 5.577689999999999593e-01
3.792519999999999780e-01 9.061660000000000270e-01 3.950739999999999807e-02 5.029750000000000193e-02 3.285629999999999939e-01 8.718139999999999779e-01
1.867970000000000006e-05 5.714569999999999927e-01 2.145020000000000005e-05 9.761759999999999882e-02 2.650259999999999931e-05 3.925660000000000260e-01
2.221039999999999959e-01 3.683259999999999867e-01 1.599270000000000136e-01 5.129399999999999932e-02 2.532479999999999731e-01 3.549640000000000017e-01
