50.005 -3.08978 -5.37668 -5.24167 -3.15596 2.06861 3.90977 2.63385 3.53222 4.46629 4.7773 6.13899 6.53597 4.8458 2.06865 0.661534 -1.26386 -4.91115 -6.45684 -6.03211 -4.91235 -3.09549 -1.13185 0.303251
50.055 -3.92046 -6.59809 -6.51953 -4.21659 1.44055 3.70851 2.5914 3.1747 3.86209 4.36625 6.17893 6.78986 5.25072 2.84613 1.54606 -0.456858 -4.11179 -5.71963 -5.35629 -4.77245 -4.17212 -2.64509 -0.965534
50.105 -4.63407 -7.65705 -7.63496 -5.19432 0.706094 3.29448 2.48463 2.88083 3.25676 3.88343 6.06566 6.87928 5.53556 3.55497 2.40253 0.383777 -3.20227 -4.821 -4.50544 -4.44887 -5.02361 -4.03166 -2.25134
50.155 -5.26698 -8.40633 -8.34327 -5.99396 -0.233305 2.66056 2.29464 2.65518 2.71493 3.38207 5.8201 6.80727 5.69267 4.16833 3.18591 1.19288 -2.26175 -3.85641 -3.59072 -4.01405 -5.56783 -5.16313 -3.44345
50.205 -5.73847 -8.7055 -8.55122 -6.62539 -1.36896 1.83869 1.95495 2.44661 2.32573 2.9385 5.48197 6.59462 5.73038 4.67977 3.87471 1.92619 -1.35399 -2.90677 -2.71213 -3.5446 -5.81104 -5.95551 -4.41712
50.255 -6.00588 -8.61447 -8.38192 -7.0017 -2.53807 0.766156 1.38576 2.21613 2.1207 2.59306 5.07494 6.26146 5.66626 5.1061 4.48409 2.58523 -0.496075 -2.00341 -1.91387 -3.07616 -5.80323 -6.38247 -5.07478
50.305 -6.01544 -8.17903 -7.89203 -7.044 -3.66776 -0.596793 0.523062 1.90852 2.10067 2.37179 4.61213 5.82064 5.50754 5.45386 5.02494 3.18116 0.31844 -1.14226 -1.18935 -2.60247 -5.58807 -6.46624 -5.38006
50.355 -5.73218 -7.44318 -7.12974 -6.82642 -4.75293 -2.16636 -0.558531 1.47867 2.11557 2.23928 4.13634 5.29967 5.26065 5.71516 5.49244 3.72064 1.10303 -0.302436 -0.502131 -2.09425 -5.19545 -6.26033 -5.3626
50.405 -5.1885 -6.4783 -6.16113 -6.39331 -5.71679 -3.80622 -1.76782 0.93736 2.05568 2.11506 3.6703 4.71844 4.92451 5.86912 5.86731 4.19964 1.86169 0.528953 0.181247 -1.52802 -4.65524 -5.83325 -5.0921
50.455 -4.45691 -5.37262 -5.06584 -5.78632 -6.46199 -5.34736 -2.98851 0.319713 1.87613 1.95554 3.22263 4.09461 4.4997 5.89359 6.12363 4.60155 2.57941 1.3414 0.867186 -0.908169 -4.01097 -5.25986 -4.65035
