6.180729999999999835e-01 6.186420000000000252e-01 6.182720000000000438e-01 6.154530000000000278e-01 6.228299999999999947e-01 6.152300000000000546e-01 6.231719999999999482e-01 6.196660000000000501e-01
6.148299999999999876e-01 6.176390000000000491e-01 6.174800000000000288e-01 6.179839999999999778e-01 6.172840000000000549e-01 6.177219999999999933e-01 6.177759999999999918e-01 6.158599999999999630e-01
6.226230000000000375e-01 6.177829999999999711e-01 6.177770000000000206e-01 6.228200000000000403e-01 6.149609999999999799e-01 6.176709999999999701e-01 6.122090000000000032e-01 6.168320000000000469e-01
6.181020000000000403e-01 6.178069999999999951e-01 6.181349999999999900e-01 6.180630000000000290e-01 6.222490000000000521e-01 6.222739999999999938e-01 6.179069999999999840e-01 6.175530000000000186e-01
6.189090000000000424e-01 6.195939999999999781e-01 6.177789999999999671e-01 6.161140000000000505e-01 6.220679999999999543e-01 6.184939999999999882e-01 6.132699999999999818e-01 6.176819999999999533e-01
6.188740000000000352e-01 6.171419999999999684e-01 6.147540000000000227e-01 6.176439999999999708e-01 6.181959999999999678e-01 6.178470000000000351e-01 6.171039999999999859e-01 6.171280000000000099e-01
6.178409999999999735e-01 6.161670000000000202e-01 6.178919999999999968e-01 6.146979999999999666e-01 6.218380000000000019e-01 6.184420000000000472e-01 6.171149999999999691e-01 6.176180000000000003e-01
6.181839999999999558e-01 6.231020000000000447e-01 6.182579999999999742e-01 6.199390000000000178e-01 6.178639999999999688e-01 6.179940000000000433e-01 6.161250000000000338e-01 6.181729999999999725e-01
6.180700000000000083e-01 6.230320000000000302e-01 6.170989999999999531e-01 6.228129999999999500e-01 6.169339999999999824e-01 6.211569999999999592e-01 6.225089999999999790e-01 6.170550000000000201e-01
6.180849999999999955e-01 6.189810000000000034e-01 6.166920000000000179e-01 6.111539999999999750e-01 6.179360000000000408e-01 6.173980000000000024e-01 6.180339999999999723e-01 6.222250000000000281e-01
6.184770000000000545e-01 6.189480000000000537e-01 6.199810000000000043e-01 6.205739999999999590e-01 6.173720000000000319e-01 6.231719999999999482e-01 6.166760000000000019e-01 6.227570000000000050e-01
6.177979999999999583e-01 6.226220000000000088e-01 6.176650000000000196e-01 6.136709999999999665e-01 6.179569999999999785e-01 6.158000000000000140e-01 6.177589999999999471e-01 6.217209999999999681e-01
6.219930000000000181e-01 6.149890000000000079e-01 6.179890000000000105e-01 6.222550000000000026e-01 6.181990000000000540e-01 6.180670000000000330e-01 6.171459999999999724e-01 6.173800000000000399e-01
